date,Civilization VI,GTA V,Rocket League,The Witcher 3
2016.11.01,70991.0,70273.0,47762.0,12861.0
2016.11.02,66393.0,66145.0,48510.0,12425.0
2016.11.03,64260.0,67015.0,48693.0,11739.0
2016.11.04,67114.0,74533.0,52968.0,12045.0
2016.11.05,84894.0,83047.0,52901.0,15908.0
2016.11.06,76399.0,77928.0,53995.0,17155.0
2016.11.07,57247.0,55159.0,47417.0,11668.0
2016.11.08,51352.0,56404.0,46884.0,11148.0
2016.11.09,46504.0,55847.0,45301.0,10457.0
2016.11.10,46358.0,54900.0,45894.0,10228.0
2016.11.11,55426.0,65497.0,51202.0,11005.0
2016.11.12,66584.0,76418.0,52432.0,14108.0
2016.11.13,65277.0,73143.0,52902.0,15285.0
2016.11.14,54211.0,51858.0,47734.0,11047.0
2016.11.15,40502.0,52129.0,46466.0,10438.0
2016.11.16,39049.0,49801.0,45145.0,9959.0
2016.11.17,38297.0,49148.0,45329.0,9716.0
2016.11.18,44320.0,58009.0,48010.0,9674.0
2016.11.19,58464.0,67704.0,50324.0,13224.0
2016.11.20,58821.0,67065.0,51434.0,14695.0
2016.11.21,48798.0,46676.0,46747.0,10402.0
2016.11.22,38262.0,47657.0,45850.0,10095.0
2016.11.23,39378.0,47814.0,48918.0,9913.0
2016.11.24,40424.0,50347.0,50097.0,11536.0
2016.11.25,45861.0,65499.0,55497.0,13436.0
2016.11.26,49263.0,84129.0,53548.0,18501.0
2016.11.27,49357.0,86608.0,55568.0,21342.0
2016.11.28,41415.0,67072.0,48614.0,15879.0
2016.11.29,31439.0,68316.0,49856.0,16192.0
2016.11.30,29568.0,70707.0,48204.0,15482.0
2016.12.01,28227.0,66836.0,48394.0,14783.0
2016.12.02,31628.0,75195.0,52271.0,14794.0
2016.12.03,41928.0,88458.0,56264.0,19184.0
2016.12.04,41963.0,86747.0,55608.0,21186.0
2016.12.05,35029.0,64283.0,49898.0,14968.0
2016.12.06,27025.0,63201.0,48787.0,14389.0
2016.12.07,26027.0,63861.0,49581.0,13829.0
2016.12.08,26068.0,63580.0,60029.0,13732.0
2016.12.09,28871.0,72511.0,64529.0,13648.0
2016.12.10,37928.0,85642.0,68581.0,17830.0
2016.12.11,38190.0,82483.0,70617.0,19360.0
2016.12.12,32019.0,59644.0,62867.0,13923.0
2016.12.13,24673.0,81357.0,57457.0,12862.0
2016.12.14,23394.0,83382.0,55777.0,12244.0
2016.12.15,23537.0,87829.0,55086.0,12161.0
2016.12.16,25939.0,106001.0,57982.0,12273.0
2016.12.17,34181.0,126819.0,59416.0,15796.0
2016.12.18,35334.0,125126.0,59734.0,17120.0
